Drop Rate,Activation Function,Learning Rates,CF Size,Mean Accuracy,Accuracy Standard Error,Mean AUC,AUC Standard Error,SummaryObject
0.05,SGD,0.001,4.0,0.5042168674698796,0.0029511924611845576,0.5175994483159118,0.01866177564478551,<__main__.CNNSummary object at 0x0000027D999ED340>
0.05,SGD,0.001,8.0,0.5271084337349398,0.016387313865946315,0.5460728803716609,0.018160889371692815,<__main__.CNNSummary object at 0x0000027D8B976480>
0.05,SGD,0.001,12.0,0.49096385542168675,0.005471657266441253,0.5201292102206736,0.02064919373452363,<__main__.CNNSummary object at 0x0000027D99F54EC0>
0.05,SGD,0.001,16.0,0.5114457831325301,0.010320386565669764,0.5324767711962834,0.021190544398917342,<__main__.CNNSummary object at 0x0000027D99FE0B00>
0.05,SGD,0.001,20.0,0.5030120481927711,0.0077964934370751676,0.53170368757259,0.015297714185223974,<__main__.CNNSummary object at 0x0000027D999D5C70>
0.05,SGD,0.005,4.0,0.5042168674698795,0.007102304893103382,0.5902511614401859,0.03198147231473825,<__main__.CNNSummary object at 0x0000027D99FC08C0>
0.05,SGD,0.005,8.0,0.5475903614457831,0.03002091978786252,0.6277547909407666,0.033903314518194526,<__main__.CNNSummary object at 0x0000027D99FC18E0>
0.05,SGD,0.005,12.0,0.4951807228915663,0.0043231024380744965,0.5475718641114983,0.04630843421831008,<__main__.CNNSummary object at 0x0000027D999B98E0>
0.05,SGD,0.005,16.0,0.5403614457831325,0.03895452943655162,0.676400987224158,0.07379921142381962,<__main__.CNNSummary object at 0x0000027D99FF1DC0>
0.05,SGD,0.005,20.0,0.5777108433734941,0.05660246862286443,0.6668408826945413,0.053557938458599845,<__main__.CNNSummary object at 0x0000027D99FF2B70>
0.05,SGD,0.01,4.0,0.7042168674698795,0.05845546732871423,0.9005952380952381,0.045262225971170564,<__main__.CNNSummary object at 0x0000027D8BDCAEA0>
0.05,SGD,0.01,8.0,0.5668674698795181,0.06019878041134639,0.7126125145180022,0.08519910343301351,<__main__.CNNSummary object at 0x0000027D99A04800>
0.05,SGD,0.01,12.0,0.5608433734939758,0.046334661501275694,0.729732868757259,0.0856798047861124,<__main__.CNNSummary object at 0x0000027D99A06A20>
0.05,SGD,0.01,16.0,0.71144578313253,0.08748120508178088,0.7836200638792103,0.10615986202333076,<__main__.CNNSummary object at 0x0000027D99B676E0>
0.05,SGD,0.01,20.0,0.5885542168674699,0.0532170188562838,0.7136033681765389,0.10164564114893249,<__main__.CNNSummary object at 0x0000027D99B67020>
0.05,ADAM,0.001,4.0,0.8475903614457831,0.02774683362150971,0.9591100464576074,0.005914912365873302,<__main__.CNNSummary object at 0x0000027D99BE1F70>
0.05,ADAM,0.001,8.0,0.8451807228915662,0.027484011372338284,0.9490490708478514,0.009532684110123028,<__main__.CNNSummary object at 0x0000027D99C6BF80>
0.05,ADAM,0.001,12.0,0.8271084337349397,0.05359922621055414,0.9508347851335655,0.014757995677697986,<__main__.CNNSummary object at 0x0000027D999D6000>
0.05,ADAM,0.001,16.0,0.8373493975903615,0.036332343619924164,0.9505153890824622,0.00682809871250839,<__main__.CNNSummary object at 0x0000027D99CEFEF0>
0.05,ADAM,0.001,20.0,0.8487951807228915,0.041794814308965623,0.9340737514518003,0.02601596192207491,<__main__.CNNSummary object at 0x0000027D99A6A840>
0.05,ADAM,0.005,4.0,0.7572289156626505,0.03444287315403085,0.9471072880371662,0.011640699576054963,<__main__.CNNSummary object at 0x0000027D99FF2D20>
0.05,ADAM,0.005,8.0,0.8018072289156626,0.03540149822187766,0.9552047038327526,0.005253373293938473,<__main__.CNNSummary object at 0x0000027D99F56D20>
0.05,ADAM,0.005,12.0,0.8150602409638555,0.04291085257471836,0.9576146922183508,0.008039187298403831,<__main__.CNNSummary object at 0x0000027D99B67DD0>
0.05,ADAM,0.005,16.0,0.7632530120481927,0.03177104093275723,0.9484102787456447,0.009474405102176177,<__main__.CNNSummary object at 0x0000027D99A6A0F0>
0.05,ADAM,0.005,20.0,0.7771084337349398,0.04810798264221152,0.9534335075493612,0.011123984086577828,<__main__.CNNSummary object at 0x0000027D999B8920>
0.05,ADAM,0.01,4.0,0.6331325301204819,0.04740891137055025,0.7360772357723577,0.07372940857809931,<__main__.CNNSummary object at 0x0000027D999ECAD0>
0.05,ADAM,0.01,8.0,0.6686746987951807,0.03574071560046103,0.8502831010452961,0.0509005695707652,<__main__.CNNSummary object at 0x0000027D99F38B00>
0.05,ADAM,0.01,12.0,0.7337349397590361,0.050872415048443316,0.871628193960511,0.03564177904803016,<__main__.CNNSummary object at 0x0000027D8CC6B7D0>
0.05,ADAM,0.01,16.0,0.6656626506024097,0.024488526053226323,0.8929950638792101,0.027625750964765956,<__main__.CNNSummary object at 0x0000027D9997E4B0>
0.05,ADAM,0.01,20.0,0.630120481927711,0.046500795635927315,0.8694468641114982,0.04262522475299301,<__main__.CNNSummary object at 0x0000027D99C6B9E0>
0.1,SGD,0.001,4.0,0.5102409638554217,0.00978799807787466,0.544501306620209,0.011625671094428464,<__main__.CNNSummary object at 0x0000027D8BA48410>
0.1,SGD,0.001,8.0,0.5006024096385542,0.005164586807072964,0.5118902439024391,0.015524581931615867,<__main__.CNNSummary object at 0x0000027D9991CAD0>
0.1,SGD,0.001,12.0,0.5114457831325301,0.01464487443511231,0.5211236933797909,0.03056901319950012,<__main__.CNNSummary object at 0x0000027D999D4620>
0.1,SGD,0.001,16.0,0.49939759036144576,0.002760587768045691,0.5562354819976771,0.01647717554043106,<__main__.CNNSummary object at 0x0000027D999EF2F0>
0.1,SGD,0.001,20.0,0.508433734939759,0.008853577383553654,0.520579268292683,0.013453938627317459,<__main__.CNNSummary object at 0x0000027D99AEB830>
0.1,SGD,0.005,4.0,0.5740963855421686,0.054422301556097355,0.6408536585365854,0.07069148022742393,<__main__.CNNSummary object at 0x0000027D9997EC60>
0.1,SGD,0.005,8.0,0.6090361445783132,0.06213440028398135,0.6961128048780487,0.06281872343234689,<__main__.CNNSummary object at 0x0000027D8BAFC5C0>
0.1,SGD,0.005,12.0,0.5210843373493976,0.013402768350172888,0.6103440766550523,0.022937319904449794,<__main__.CNNSummary object at 0x0000027D99F683E0>
0.1,SGD,0.005,16.0,0.5204819277108432,0.017443894259723203,0.5854965156794425,0.014783649579956572,<__main__.CNNSummary object at 0x0000027D8B99C5C0>
0.1,SGD,0.005,20.0,0.5626506024096385,0.05339402362930201,0.6871842334494773,0.05748627366993606,<__main__.CNNSummary object at 0x0000027D99AEA180>
0.1,SGD,0.01,4.0,0.5903614457831325,0.07702838465388205,0.7159988385598142,0.06669019656907688,<__main__.CNNSummary object at 0x0000027D99D7A840>
0.1,SGD,0.01,8.0,0.5746987951807229,0.06853584567615757,0.7165396341463415,0.08614724039882357,<__main__.CNNSummary object at 0x0000027D99D788F0>
0.1,SGD,0.01,12.0,0.6445783132530121,0.08048427238486378,0.7585039198606272,0.07565120318353633,<__main__.CNNSummary object at 0x0000027D999ED100>
0.1,SGD,0.01,16.0,0.636144578313253,0.07757646923451653,0.8217552264808361,0.061279056538763935,<__main__.CNNSummary object at 0x0000027D8BA9BEF0>
