Drop Rate,Activation Function,Learning Rates,CF Size,Mean Accuracy,Accuracy Standard Error,Mean AUC,AUC Standard Error,SummaryObject
0.05,SGD,0.001,4.0,0.49056603773584906,0.0231083937998413,0.506896551724138,0.033546312267066156,<__main__.CNNSummary object at 0x0000027D90A2E3F0>
0.05,SGD,0.001,8.0,0.5094339622641509,0.023108393799841295,0.5586206896551724,0.034983198126283706,<__main__.CNNSummary object at 0x0000027D90603B00>
0.05,SGD,0.001,12.0,0.49433962264150944,0.02184120170337778,0.4839080459770114,0.03826643337667683,<__main__.CNNSummary object at 0x0000027D912A18E0>
0.05,SGD,0.001,16.0,0.5283018867924528,0.018867924528301883,0.5091954022988505,0.018369464990077067,<__main__.CNNSummary object at 0x0000027D9065B230>
0.05,SGD,0.001,20.0,0.5283018867924528,0.018867924528301883,0.5293103448275863,0.024730179557548835,<__main__.CNNSummary object at 0x0000027D90666FC0>
0.05,SGD,0.005,4.0,0.4716981132075472,0.018867924528301883,0.514080459770115,0.030685968825915295,<__main__.CNNSummary object at 0x0000027D90BF1DC0>
0.05,SGD,0.005,8.0,0.49056603773584906,0.0231083937998413,0.4931034482758621,0.07539120459103224,<__main__.CNNSummary object at 0x0000027D90603830>
0.05,SGD,0.005,12.0,0.5094339622641509,0.0231083937998413,0.48074712643678164,0.03093454534848634,<__main__.CNNSummary object at 0x0000027D90680BC0>
0.05,SGD,0.005,16.0,0.49056603773584906,0.0231083937998413,0.5612068965517242,0.0503050051131811,<__main__.CNNSummary object at 0x0000027D912A3EF0>
0.05,SGD,0.005,20.0,0.49056603773584906,0.0231083937998413,0.5255747126436783,0.03938826132410621,<__main__.CNNSummary object at 0x0000027D91316480>
0.05,SGD,0.01,4.0,0.49056603773584906,0.023108393799841295,0.4836206896551724,0.027765967234211632,<__main__.CNNSummary object at 0x0000027D91384800>
0.05,SGD,0.01,8.0,0.5094339622641509,0.0231083937998413,0.426867816091954,0.0312069494718122,<__main__.CNNSummary object at 0x0000027D91345DC0>
0.05,SGD,0.01,12.0,0.4830188679245283,0.01942571724714528,0.5201149425287357,0.029921645374826014,<__main__.CNNSummary object at 0x0000027D905C78C0>
0.05,SGD,0.01,16.0,0.5245283018867924,0.03235175131977781,0.5344827586206897,0.03583034903555242,<__main__.CNNSummary object at 0x0000027D90EC82C0>
0.05,SGD,0.01,20.0,0.5207547169811322,0.018486715039873036,0.48045977011494256,0.052442725554661375,<__main__.CNNSummary object at 0x0000027D909433B0>
0.05,ADAM,0.001,4.0,0.4528301886792453,0.0,0.5905172413793103,0.02801908334646525,<__main__.CNNSummary object at 0x0000027D90BC5580>
0.05,ADAM,0.001,8.0,0.49056603773584906,0.023108393799841295,0.5408045977011494,0.06656130199278927,<__main__.CNNSummary object at 0x0000027D90F28410>
