Drop Rate,Activation Function,Learning Rates,CF Size,Mean Accuracy,Accuracy Standard Error,Mean AUC,AUC Standard Error,SummaryObject
0.05,SGD,0.001,4,0.514516129,0.008980265,0.567273673,0.567273673,<__main__.CNNSummary object at 0x0000023FCF1F9400>
0.05,SGD,0.001,8,0.529032258,0.01796053,0.606711759,0.606711759,<__main__.CNNSummary object at 0x0000023FCD91D3A0>
0.05,SGD,0.001,12,0.491935484,0.007213123,0.53251821,0.53251821,<__main__.CNNSummary object at 0x0000023FCD282AE0>
0.05,SGD,0.001,16,0.503225806,0.001975395,0.532882414,0.532882414,<__main__.CNNSummary object at 0x0000023FCF447F20>
0.05,SGD,0.001,20,0.50483871,0.007030482,0.484287201,0.484287201,<__main__.CNNSummary object at 0x0000023FCF1FB4A0>
0.05,SGD,0.005,4,0.501612903,0.001612903,0.586576483,0.586576483,<__main__.CNNSummary object at 0x0000023FCD330770>
0.05,SGD,0.005,8,0.535483871,0.021729344,0.608168574,0.608168574,<__main__.CNNSummary object at 0x0000023FCD303590>
0.05,SGD,0.005,12,0.506451613,0.006451613,0.539021852,0.539021852,<__main__.CNNSummary object at 0x0000023FCD282030>
0.05,SGD,0.005,16,0.535483871,0.021275655,0.584079084,0.584079084,<__main__.CNNSummary object at 0x0000023FCF4411F0>
0.05,SGD,0.005,20,0.506451613,0.005349395,0.473152966,0.473152966,<__main__.CNNSummary object at 0x0000023FCF43F740>
0.05,SGD,0.01,4,0.559677419,0.03611967,0.646331946,0.646331946,<__main__.CNNSummary object at 0x0000023FCDC593A0>
0.05,SGD,0.01,8,0.585483871,0.052301356,0.61930281,0.61930281,<__main__.CNNSummary object at 0x0000023FCCE8F860>
0.05,SGD,0.01,12,0.575806452,0.043473652,0.681867846,0.681867846,<__main__.CNNSummary object at 0x0000023FCCF1C410>
0.05,SGD,0.01,16,0.569354839,0.046579126,0.653902185,0.653902185,<__main__.CNNSummary object at 0x0000023FCD05B1A0>
0.05,SGD,0.01,20,0.601612903,0.06327434,0.668886576,0.668886576,<__main__.CNNSummary object at 0x0000023FCF2AB8C0>
0.05,ADAM,0.001,4,0.791935484,0.054660526,0.901977107,0.901977107,<__main__.CNNSummary object at 0x0000023FCCE8F830>
0.05,ADAM,0.001,8,0.75,0.029410617,0.905567118,0.905567118,<__main__.CNNSummary object at 0x0000023FCDD78260>
0.05,ADAM,0.001,12,0.785483871,0.029914898,0.890322581,0.890322581,<__main__.CNNSummary object at 0x0000023FCCE8FD70>
0.05,ADAM,0.001,16,0.801612903,0.01796053,0.901508845,0.901508845,<__main__.CNNSummary object at 0x0000023FCF380A40>
0.05,ADAM,0.001,20,0.782258065,0.029740466,0.901560874,0.901560874,<__main__.CNNSummary object at 0x0000023FCD828DD0>
0.05,ADAM,0.005,4,0.764516129,0.035281682,0.904318418,0.904318418,<__main__.CNNSummary object at 0x0000023FCD907020>
0.05,ADAM,0.005,8,0.701612903,0.053433125,0.916337149,0.916337149,<__main__.CNNSummary object at 0x0000023FCCF1D2B0>
0.05,ADAM,0.005,12,0.774193548,0.030174656,0.888943809,0.888943809,<__main__.CNNSummary object at 0x0000023FCF3E5C40>
0.05,ADAM,0.005,16,0.722580645,0.052734783,0.908064516,0.908064516,<__main__.CNNSummary object at 0x0000023FCD906E40>
0.05,ADAM,0.005,20,0.720967742,0.050337053,0.916701353,0.916701353,<__main__.CNNSummary object at 0x0000023FCD127620>
0.05,ADAM,0.01,4,0.717741935,0.041514638,0.872372529,0.872372529,<__main__.CNNSummary object at 0x0000023FCF3020C0>
0.05,ADAM,0.01,8,0.669354839,0.047642114,0.739229969,0.739229969,<__main__.CNNSummary object at 0x0000023FCD421FA0>
0.05,ADAM,0.01,12,0.672580645,0.017594697,0.860874089,0.860874089,<__main__.CNNSummary object at 0x0000023FCD1568A0>
0.05,ADAM,0.01,16,0.698387097,0.050013006,0.840582726,0.840582726,<__main__.CNNSummary object at 0x0000023FCF44A300>
0.05,ADAM,0.01,20,0.667741935,0.029009848,0.86207076,0.86207076,<__main__.CNNSummary object at 0x0000023FCD985640>
0.1,SGD,0.001,4,0.506451613,0.006451613,0.534547347,0.534547347,<__main__.CNNSummary object at 0x0000023FD044FE90>
0.1,SGD,0.001,8,0.50483871,0.00483871,0.532414152,0.532414152,<__main__.CNNSummary object at 0x0000023FCCEC67E0>
0.1,SGD,0.001,12,0.511290323,0.004112113,0.515452653,0.515452653,<__main__.CNNSummary object at 0x0000023FCF44BB90>
0.1,SGD,0.001,16,0.50483871,0.005469621,0.559105099,0.559105099,<__main__.CNNSummary object at 0x0000023FD0459100>
0.1,SGD,0.001,20,0.5,0,0.50148283,0.50148283,<__main__.CNNSummary object at 0x0000023FCF44FE30>
0.1,SGD,0.005,4,0.543548387,0.02914405,0.608662851,0.608662851,<__main__.CNNSummary object at 0x0000023FCD05A9F0>
0.1,SGD,0.005,8,0.508064516,0.002550224,0.555931322,0.555931322,<__main__.CNNSummary object at 0x0000023FCD1DD4F0>
0.1,SGD,0.005,12,0.50483871,0.007030482,0.651144641,0.651144641,<__main__.CNNSummary object at 0x0000023FCF1F83E0>
0.1,SGD,0.005,16,0.519354839,0.00790158,0.572320499,0.572320499,<__main__.CNNSummary object at 0x0000023FD045BE60>
